Code,Name,Marcap
025860,남해화학,288137289400
001390,KG케미칼,287085038100
078520,에이블씨엔씨,284334779730
026890,스틱인베스트먼트,283802526840
084690,대상홀딩스,282819921780
096760,JW홀딩스,282762903150
033270,유나이티드제약,280347855500
084010,대한제강,280128507400
017390,서울가스,276705000000
123890,한국자산신탁,276565072760
217590,티엠씨,275156049500
003960,사조대림,272184669900
002900,TYM,270756000000
001750,한양증권,269208494100
005430,한국공항,268506904000
286940,롯데이노베이트,267335914890
001340,PKC,262964039760
001230,동국홀딩스,262808038350
003120,일성아이에스,261611000000
003920,남양유업,260100000000
002320,한진,256677908640
002710,TCC스틸,256369956660
298000,효성화학,254051337000
003200,일신방직,253937600000
298690,에어부산,253495540832
010955,S-Oil우,253381401000
004360,세방,253281739750
000430,대원강업,250170000000
003070,코오롱글로벌,248646319020
334890,이지스밸류플러스리츠,244806607575
122900,아이마켓코리아,244030532000
005500,삼진제약,243356400000
007160,사조산업,243000000000
008490,서흥,242372917350
003650,미창석유,240770604800
900140,엘브이엠씨홀딩스,239231654816
0030R0,대신밸류리츠,237027700000
244920,에이플러스에셋,236476468780
000680,LS네트웍스,235621017840
000480,CR홀딩스,233983545100
348950,제이알글로벌리츠,233298432000
034120,SBS,231890475000
000650,천일고속,230247342000
000050,경방,228369199100
028100,동아지질,227487638980
001790,대한제당,226816236450
037270,YG PLUS,226004040500
404990,신한서부티엔디리츠,225403931550
025000,KPX케미칼,225065642600
475560,더본코리아,224643745500
004980,성신양회,224567228680
001250,GS글로벌,223253831620
001460,BYC,222987555000
003520,영진약품,222946239089
03473K,SK우,222774122500
000320,노루홀딩스,222759690760
044450,KSS해운,222317024400
088260,이리츠코크렙,221378857050
033920,무학,220305000000
134380,미원화학,219926800000
432320,KB스타리츠,218909741820
005010,휴스틸,217447850250
009680,모토닉,216896278120
136490,선진,216394396400
226320,잇츠한불,216003752750
030210,다올투자증권,215929870770
025560,미래산업,212542069000
003720,삼영,212500000000
006805,미래에셋증권우,211558522500
017860,DS단석,211156162710
000490,대동,210147845850
000540,흥국화재,208467383025
210980,SK디앤디,205908244920
051905,LG생활건강우,205852633800
011500,한농화성,205001620620
035150,백산,204694755020
001630,종근당홀딩스,203650849650
013580,계룡건설,202731588900
053210,스카이라이프,200784484875
003555,LG우,199341373800
053690,한미글로벌,197783777500
013890,지누스,196455284480
003350,한국화장품제조,196235600000
095570,AJ네트웍스,195944446470
317400,자이에스앤디,195851726000
100250,진양홀딩스,195534000000
039570,HDC랩스,195460735530
462520,조선내화,194187651840
003547,대신증권2우B,193615826750
000140,하이트진로홀딩스,193080284800
241590,화승엔터프라이즈,192976844060
128820,대성산업,192929313670
001130,대한제분,192829000000
044820,코스맥스비티아이,191118027900
117580,대성에너지,190300000000
001080,만호제강,189945500000
339770,교촌에프앤비,188618177000
007860,서연,188073550440
010580,에스엠벡셀,186680453280
234080,JW생명과학,186056009500
102460,이연제약,184567033230
102260,동성케미컬,183930615330
016580,환인제약,183210689500
002100,경농,181559947500
003460,유화증권,181164215925
035510,신세계 I&C,180353610000
003220,대원제약,180317767320
002150,도화엔지니어링,177704400000
377190,디앤디플랫폼리츠,177242000000
092200,디아이씨,176165217570
009470,삼화전기,175596921000
004560,현대비앤지스틸,174461843270
000300,DH오토넥스,174035631000
016450,한세예스24홀딩스,173400000000
004380,삼익THK,173052000000
033530,SJG세종,172211748590
003610,방림,171471554520
487570,HS효성,170274863900
000390,SP삼화,168389473110
002170,SYTS,168300000000
005960,동부건설,168199039790
015230,대창단조,167204699200
101530,해태제과식품,165965885400
213500,한솔제지,163033945600
097955,CJ제일제당 우,163008772400
007570,일양약품,162991570560
001780,알루코,162771451892
031440,신세계푸드,162644160000
000860,강남제비스코,162500000000
400760,NH올원리츠,162316007625
004310,현대약품,158880000000
293480,하나제약,157112842640
014710,사조씨푸드,154966887000
016880,웅진,154898681040
011785,금호석유화학우,152686043000
090350,노루페인트,151200000000
001045,CJ우,150530851800
000970,한국주철관,150255295000
000700,유수홀딩스,150000837120
071840,롯데하이마트,149908971200
004970,신라교역,149440000000
271980,제일약품,148372158480
00279K,아모레퍼시픽홀딩스3우C,146453930000
002780,진흥기업,145762688490
000520,삼일제약,144901297480
000020,동화약품,143847070500
460850,동국씨엠,142915575680
003830,대한화섬,141299200000
003480,한진중공업홀딩스,140857203240
004090,한국석유,140777790800
094280,효성ITX,139160728000
015890,태경산업,137228981250
006060,화승인더,137193600000
004960,한신공영,135955748500
025820,이구산업,135105680000
008350,남선알미늄,134758569960
012610,경인양행,134004695300
092220,KEC,133708251240
272550,삼양패키징,132149920620
081000,일진다이아,132087667500
214420,토니모리,131339202540
013520,화승코퍼레이션,130383511460
004080,신흥,129456000000
077500,유니퀘스트,128520606900
007540,샘표,128404470000
210540,디와이파워,128304646960
037560,LG헬로비전,128252008440
020120,키다리스튜디오,128055311530
024090,디씨엠,127224000000
001360,삼성제약,126930482492
011280,태림포장,126176185080
089470,HDC현대EP,126164500000
014280,금강공업,125236354390
012200,계양전기,125225013400
004150,한솔홀딩스,125131191000
008970,KBI동양철관,125039122935
214390,경보제약,124793809200
107590,미원홀딩스,124584000000
350520,이지스레지던스리츠,123686107710
025620,차AI헬스케어,122694778020
009070,KCTC,122550000000
079430,현대리바트,121892064120
002460,HS화성,121597000000
017550,수산세보틱스,120367921770
078000,텔코웨어,119936199460
009270,신원,119820290292
011690,와이투솔루션,118922236560
010960,삼호개발,118791000000
001520,동양,117834235200
013360,일성건설,117774238400
001260,남광토건,117499235400
018470,조일알미늄,115994656436
267290,경동도시가스,115903681960
004250,NPC,114933600000
084680,이월드,114863016330
034590,인천도시가스,114618554800
070960,모나용평,114557332540
015590,DKME,112239039416
010100,한국무브넥스,111600789300
005800,신영와코루,111510000000
014580,태경비케이,111297808500
012320,경동인베스트,111274332150
008040,사조동아원,110516221800
120030,조선선재,110421757800
227840,현대코퍼레이션홀딩스,110302132320
016710,대성홀딩스,110051899560
011810,STX,109493282310
002220,한일철강,108925636800
083420,그린케미칼,108840000000
267850,아시아나IDT,108447000000
014530,극동유화,108443896200
035000,HS애드,108267061920
002390,한독,108043734050
013570,디와이,108042093465
019180,티에이치엔,107820000000
264900,크라운제과,106703202000
123690,한국화장품,106691520000
027970,한국제지,106104101760
002620,제일파마홀딩스,105743610100
016740,두올,105520408320
012800,대창,105267276345
002450,삼익악기,104834799570
021820,세원정공,104200000000
009580,무림P&P,103656154488
248170,샘표식품,103243263600
119650,KC코트렐,100782913662
007210,벽산,100458320000
078935,GS우,98060147600
023450,동남합성,97825000000
014790,HL D&I,97675190580
067830,세이브존I&C,96856512200
008700,아남전자,96174650540
058850,KTcs,94402146000
002210,동성제약,94010780311
036580,팜스코,92554416360
001275,부국증권우,92550000000
032560,황금에스티,92310000000
37550L,DL이앤씨2우(전환),91975466050
007610,선도전기,91440000000
008260,NI스틸,90805371475
009190,대양금속,90611726500
014440,영보화학,90000000000
004140,동방,89899089484
023800,인지컨트롤스,89796238960
058860,KTis,89789160000
33626K,두산퓨얼셀1우,89005572000
023000,삼원강재,88818801660
004100,태양금속,87346000000
058730,다스코,84580457040
005740,크라운해태홀딩스,84481404430
004890,동일산업,84033699750
001290,상상인증권,83852930880
139990,아주스틸,83711694240
004840,DRB동일,83449336120
013700,까뮤이앤씨,83232906190
019680,대교,82415873050
002600,조흥,82200000000
011700,한신기계,82088762030
002700,신일전자,81955599570
006660,삼성공조,81506929420
007980,TP,81366902250
003580,HLB글로벌,81314925525
000590,CS홀딩스,81275532800
004440,삼일씨엔에스,81229821860
017370,우신시스템,80764978140
069730,DSR제강,80640000000
084670,동양고속,79772925950
001470,삼부토건,79699592928
000850,화천기공,79420000000
163560,동일고무벨트,78674000000
109070,주성코퍼레이션,78423191550
111380,동인기연,77825600000
009180,한솔로지스틱스,77710077000
006840,AK홀딩스,77365756240
013870,지엠비코리아,77338095400
363280,티와이홀딩스,76754000771
002200,한국수출포장,76714864890
007590,동방아그로,76530782740
014160,대영포장,76092973398
063160,종근당바이오,74993100540
006090,사조오양,74816547660
000230,일동홀딩스,74089368000
005750,대림바스,74084351600
001020,페이퍼코리아,74041056960
338100,NH프라임리츠,73240500000
011150,CJ씨푸드,73119123055
007110,일신석재,72499386960
096775,SK이노베이션우,72408708000
155660,DSR,72320000000
002720,국제약품,71943428800
004720,팜젠사이언스,71021434275
000180,성창기업지주,70588619200
000105,유한양행우,70147836000
095720,웅진씽크빅,70067795805
100220,비상교육,69012694710
002795,아모레퍼시픽홀딩스우,67959481800
072130,유엔젤,67793724360
001560,제일연마,67792000000
011230,삼화전자,67271905350
120115,코오롱인더우,67258998000
010040,한국내화,66980378122
016090,대현,66866288100
009770,삼정펄프,66374230050
018500,동원금속,65971210463
079980,휴비스,65791500000
006890,태경케미컬,65424000000
001210,금호전기,64974087150
055490,테이팩스,64380442500
005870,휴니드,64086708100
068290,삼성출판사,64000000000
003925,남양유업우,63800000000
003780,진양산업,62270000000
396690,미래에셋글로벌리츠,62260537680
031820,아이티센씨티에스,62220450440
004830,덕성,62171200000
071090,하이스틸,61987815970
010660,화천기계,61820000000
085310,엔케이,61792556420
111110,호전실업,60560880000
000220,유유제약,60155304840
009200,무림페이퍼,59501313300
010770,평화홀딩스,59379391960
101140,인바이오젠,59361316560
004770,써니전자,59155391708
024900,디와이덕양,58551834040
129260,인터지스,58424824536
007280,한국특강,58009243500
007460,에이프로젠,57925560515
003010,혜인,57906562585
014910,성문전자,57375299625
092440,기신정기,56502000000
002760,보락,56425800000
004450,삼화왕관,56337010850
001550,조비,56076181200
075180,새론오토모티브,55968000000
378850,화승알앤에이,55841251620
006880,신송홀딩스,55063333990
003475,유안타증권우,54768606750
007815,코리아써우,54402061500
012690,모나리자,54198599910
002630,오리엔트바이오,53836683816
214330,금호에이치티,53434909745
005305,롯데칠성우,53263797000
002410,범양건영,53173451700
35320K,대덕전자1우,52911854750
000725,현대건설우,52840119300
004540,깨끗한나라,52472136437
000890,보해양조,52126535175
003465,유화증권우,51904982250
006980,우성,51850200000
025530,SJM홀딩스,51671667680
123700,SJM,51574187890
001620,케이비아이동국실업,51528672890
004060,SG세계물산,51213514880
020760,일진디스플,50984432422
001465,BYC우,50938552500
021050,서원,49088726060
023810,인팩,49050000000
026940,부국철강,48900000000
004920,씨아이테크,48840360192
011000,진원생명과학,48531472338
372910,한컴라이프케어,48457884906
357250,미래에셋맵스리츠,48065586915
011390,부산산업,48048000000
023350,한국종합기술,47468250000
006125,SK디스커버리우,47420642500
37550K,DL이앤씨우,47245329750
004910,조광페인트,46976000000
041650,상신브레이크,46593046500
090080,평화산업,46502213373
069460,대호에이엘,46322277400
009835,한화솔루션우,46304775020
009320,아진전자부품,46243184260
006490,프리티,45844695960
000950,전방,45444000000
092780,DYP,45431187000
003080,SB성보,45145100000
002920,유성기업,45122702500
008420,문배철강,45107711000
005030,부산주공,45092532168
480370,씨케이솔루션,45019231488
074610,이엔플러스,44815400070
000910,유니온,44727288435
002140,고려산업,44242539950
28513K,SK케미칼우,44212466100
047400,유니온머티리얼,43932000000
017180,명문제약,43120886580
011420,갤럭시아에스엠,42977444640
012280,영화금속,42888221330
481850,신한글로벌액티브리츠,42651588384
006370,대구백화점,41933742625
019490,엑시큐어하이트론,41349858070
002880,디와이에이,40693375650
017040,광명전기,40390657180
133820,화인베스틸,40232120168
084870,TBH글로벌,39443517568
023960,에쓰씨엔지니어링,39367234125
134790,시디즈,38580000000
008870,금비,38450000000
004410,서울식품,37206077259
011300,우성머티리얼스,37079440965
145270,케이탑리츠,36333945144
009140,경인전자,35971251300
446070,유니드비티플러스,35918962775
007120,미래아이앤지,35838352528
049800,우진플라임,35680000000
000215,DL우,35577026500
051630,진양화학,35192000000
002870,신풍,34958700000
013000,세우글로벌,34417332169
004365,세방우,33904207500
006570,대림통상,33799500000
027740,마니커,33597439612
000760,이화산업,33292000000
093240,형지엘리트,33150739860
005820,원림,32769052200
023150,MH에탄올,32539299660
009460,한창제지,32459111840
143210,핸즈코퍼레이션,32108476620
006345,대원전선우,31533036000
008250,이건산업,31434062450
002690,동일제강,31384356560
025750,한솔홈데코,31323728376
010400,우진아이엔에스,31250200000
002420,세기상사,31043729600
088790,진도,30683688960
001070,대한방직,30634000000
003680,한성기업,30612908950
090370,메타랩스,30417423546
010640,진양폴리,30394000000
011330,유니켐,30393298710
118000,메타케어,29951756030
003060,에이프로젠바이오로직스,29905676050
001380,SG글로벌,29743779933
308170,씨티알모빌리티,29230950000
024070,WISCOM,28905662068
33637K,솔루스첨단소재1우,28761810966
003535,한화투자증권우,28608000000
009810,플레이그램,28008055000
004870,티웨이홀딩스,27951383018
005320,온타이드,27897281520
012160,영흥,27539299389
014990,인디에프,27386197977
004270,남성,27267756480
002820,SUN&L,27170216295
014130,한익스프레스,26940000000
030720,동원수산,26573226550
005110,한창,26467434378
002025,코오롱우,26167854350
002355,넥센타이어1우B,25967500000
036420,콘텐트리중앙,25426246560
019175,신풍제약우,25328445600
003495,대한항공우,24992865000
025890,한국주강,24908216760
005360,모나미,24812164091
024890,대원화성,24336998500
012170,아센디오,24138231248
33626L,두산퓨얼셀2우B,23651496000
009310,참엔지니어링,23329484620
001420,태원물산,23256000000
000040,KR모터스,23062174128
008775,호텔신라우,22932309500
071950,코아스,22301959050
033250,체시스,22016000000
006200,한국전자홀딩스,21576245235
006740,블루산업개발,21270883200
001685,대상우,19936744650
015020,이스타코,19883142400
002360,SH에너지화학,19448402750
069640,한세엠케이,19423618617
00499K,롯데지주우,19173351400
008600,윌비스,17615839860
009440,KC그린홀딩스,17568790596
108675,LX하우시스우,17064414900
357430,마스턴프리미어리츠,16777918850
18064K,한진칼우,15834597000
015260,에이엔피,15784159490
005725,넥센우,15662610000
002070,비비안,15435888480
465770,STX그린로지스,15417718800
005257,녹십자홀딩스2우,15303959100
019685,대교우B,14084567750
000087,하이트진로2우B,13957204300
00781K,코리아써키트2우B,13675547550
001795,대한제당우,13581382200
00806K,대덕1우,13287432720
145995,삼양사우,12508366000
45226K,한화갤러리아우,12460176300
011090,에넥스,12283907944
002995,금호건설우,12187492200
044380,주연테크,12109640724
084695,대상홀딩스우,10897840260
38380K,LX홀딩스1우,10857761850
001755,한양증권우,10841250000
004255,NPC우,10639200000
003075,코오롱글로벌우,10185133750
004105,태양금속우,10131000000
145210,다이나믹디자인,9461013632
001067,JW중외제약2우B,9060334950
001770,SHD,8783567940
012205,계양전기우,8452441170
33637L,솔루스첨단소재2우B,8444491560
001515,SK증권우,8421686385
000225,유유제약1우,8330967750
004835,덕성우,7642080000
004985,성신양회우,7591856400
001065,JW중외제약우,6890312650
000325,노루홀딩스우,6332534000
26490K,크라운제과우,5747550800
090355,노루페인트우,4677572600
009415,태영건설우,4640814360
000145,하이트진로홀딩스우,4515067900
000545,흥국화재우,4139520000
005965,동부건설우,3975140520
014825,동원시스템즈우,3631526250
005745,크라운해태홀딩스우,3297985740
014285,금강공업우,3267907500
007575,일양약품우,3204576000
36328K,티와이홀딩스우,2984370460
000227,유유제약2우B,2845277600
014915,성문전자우,2805000000
004545,깨끗한나라우,2530165600
001525,동양우,2208592150
